Date,Country,Rank,Artist,Track
2026-06-01,United States,1,Olivia Rodrigo,tHe CuRe
2026-06-01,United States,2,Malcolm Todd,Earrings
2026-06-01,United States,3,PinkPantheress,Stateside + Zara Larsson
2026-06-01,United States,4,Olivia Rodrigo,drop dead
2026-06-01,United States,5,Ariana Grande,hate that i made you love me
2026-06-01,United Kingdom,1,PinkPantheress,Stateside + Zara Larsson
2026-06-01,United Kingdom,2,Olivia Rodrigo,tHe CuRe
2026-06-01,United Kingdom,3,Olivia Rodrigo,drop dead
2026-06-01,United Kingdom,4,Malcolm Todd,Earrings
2026-06-01,United Kingdom,5,PinkPantheress,Girl Like Me
2026-06-01,Canada,1,Malcolm Todd,Earrings
2026-06-01,Canada,2,Drake,Janice STFU
2026-06-01,Canada,3,Olivia Rodrigo,tHe CuRe
2026-06-01,Canada,4,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Canada,5,Olivia Rodrigo,drop dead
2026-06-01,Australia,1,Olivia Rodrigo,tHe CuRe
2026-06-01,Australia,2,Malcolm Todd,Earrings
2026-06-01,Australia,3,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Australia,4,Olivia Rodrigo,drop dead
2026-06-01,Australia,5,Michael Jackson,Billie Jean
2026-06-01,New Zealand,1,Olivia Rodrigo,tHe CuRe
2026-06-01,New Zealand,2,Malcolm Todd,Earrings
2026-06-01,New Zealand,3,PinkPantheress,Stateside + Zara Larsson
2026-06-01,New Zealand,4,Olivia Rodrigo,drop dead
2026-06-01,New Zealand,5,Michael Jackson,Billie Jean
2026-06-01,Germany,1,PinkPantheress,Stateside + Zara Larsson
2026-06-01,Germany,2,Olivia Rodrigo,tHe CuRe
2026-06-01,Germany,3,The Killers,Mr. Brightside
2026-06-01,Germany,4,Justin Bieber,Beauty and a Beat
2026-06-01,Germany,5,Dominic Fike,Babydoll
2026-06-01,France,1,Aya Nakamura,Sexy Nana
2026-06-01,France,2,Disiz,melodrama
2026-06-01,France,3,PinkPantheress,Stateside + Zara Larsson
2026-06-01,France,4,Ariana Grande,hate that i made you love me
2026-06-01,France,5,Olivia Rodrigo,tHe CuRe
2026-06-01,Italy,1,Artie 5ive,SWAG MUSIC
2026-06-01,Italy,2,Olivia Rodrigo,tHe CuRe
2026-06-01,Italy,3,Michael Jackson,Billie Jean
2026-06-01,Italy,4,Ariana Grande,hate that i made you love me
2026-06-01,Italy,5,Artie 5ive,DAVVERODAVVERO
2026-06-01,Spain,1,Olivia Rodrigo,tHe CuRe
2026-06-01,Spain,2,Olivia Rodrigo,drop dead
2026-06-01,Spain,3,Bad Bunny,NUEVAYoL
